Text	Pronoun	Pronoun-offset	A	A-offset
Mr. Achenbaum has counted among his clients some of the most visible blue-chip advertisers in the country , including Nissan , Toyota , Seagram and Backer Spielvogel clients Hyundai and J.P. Morgan .	his	6	Achenbaum	2
`` I 've done over 40 ad agency searches -LCB- for clients -RCB- , so I have a pretty good notion of what clients are interested in when they look for an agency , '' Mr. Achenbaum said . As a consultant , he has given seminars at agencies including Ogilvy & Mather on how to win new business .	he	5	Achenbaum	37
Mr. Spielvogel said he hopes Mr. Achenbaum will do some strategic consulting at the agency for `` non-clients , in hopes that they become clients . ''	he	4	Spielvogel	2
At Backer Spielvogel , Mr. Spielvogel 's hallmark has been personal involvement with all major clients . He pampers them ; he invites them to fabulous parties ; he strokes them .	he	12	Spielvogel	6
At Backer Spielvogel , Mr. Spielvogel 's hallmark has been personal involvement with all major clients . He pampers them ; he invites them to fabulous parties ; he strokes them .	he	5	Spielvogel	6
At Backer Spielvogel , Mr. Spielvogel 's hallmark has been personal involvement with all major clients . He pampers them ; he invites them to fabulous parties ; he strokes them .	He	1	Spielvogel	6
Mr. Achenbaum , too , delves into his clients ' business .	his	8	Achenbaum	2
`` Carl has a much higher degree of intimacy with his clients than is ordinary for an agency his size .	his	19	Carl	2
`` Carl has a much higher degree of intimacy with his clients than is ordinary for an agency his size .	his	11	Carl	2
Mr. Achenbaum 's move follows the announcement last month that his consulting partner , Stanley Canter , 66 , would retire .	his	11	Achenbaum	2
Mr. Achenbaum , who had been considering paring down his firm or merging it with another small consulting outfit , soon agreed .	his	10	Achenbaum	2
Before becoming a consultant in 1974 , Mr. Achenbaum was a senior executive at J. Walter Thompson Co . He spent most of his career formulating marketing strategies , but became best-known for chipping away at ad agency compensation .	his	5	Achenbaum	9
Before becoming a consultant in 1974 , Mr. Achenbaum was a senior executive at J. Walter Thompson Co . He spent most of his career formulating marketing strategies , but became best-known for chipping away at ad agency compensation .	He	1	Achenbaum	9
But Mr. Achenbaum pioneered negotiated fees , which often worked out to less than 15 % . `` I was very frustrated , '' he said .	he	8	Achenbaum	3
But Mr. Achenbaum pioneered negotiated fees , which often worked out to less than 15 % . He ultimately became so well-known for cutting compensation , however , that clients did n't seek him out for anything else .	him	17	Achenbaum	3
But Mr. Achenbaum pioneered negotiated fees , which often worked out to less than 15 % . He ultimately became so well-known for cutting compensation , however , that clients did n't seek him out for anything else .	He	1	Achenbaum	3
But Mr. Achenbaum pioneered negotiated fees , which often worked out to less than 15 % . More recently , he negotiated `` indemnification '' clauses in which an ad agency in some cases must pay a client if it drops the account .	he	4	Achenbaum	3
Mr. Spielvogel said Mr. Achenbaum will work with clients to determine the mix of promotion , merchandising , publicity and other marketing outlets , and to integrate those services . He will concentrate on , among others , J.P. Morgan and Hyundai .	He	1	Achenbaum	5
Mr. Achenbaum helped Morgan in its recent agency search , and he has a long relationship with Hyundai , which is having severe troubles , including declining sales .	he	12	Achenbaum	2
`` The trail of revenue is increasingly going away from pure advertising , and going towards other services , '' Mr. Spielvogel said . Instead of being just an ad agency , he said : `` We have redefined our mission here .	he	9	Spielvogel	22
Leonard Matthews , then-president of the American Association of Advertising Agencies , called Mr. Achenbaum a `` quisling '' in an incendiary 1987 speech . And much better at that than at -LCB- the price-cutting -RCB- he 's been doing recently . ''	he	12	Achenbaum	15
Leonard Matthews , then-president of the American Association of Advertising Agencies , called Mr. Achenbaum a `` quisling '' in an incendiary 1987 speech . Yesterday , Mr. Matthews , now a consultant with the Stamford , Conn. , firm Matthews & Johnston , quipped , `` I think he 'll be very good at that -LCB- new job -RCB- .	he	25	Achenbaum	15
During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .	he	24	Hahn	6
During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .	his	11	Hahn	6
During the takeover , Mr. Hahn said he would put his account up for review if WPP 's bid were successful , but he did n't .	he	8	Hahn	6
Mr. Mingo was chief executive officer of the Mingo Group , which he founded in 1977 and which created ads for the black market .	he	13	Mingo	2
Prime Minister Lee Kuan Yew , Singapore 's leader and one of Asia 's leading statesmen for 30 years , recently announced his intention to retire next year -- though not necessarily to end his influence .	his	35	Lee Kuan Yew	3
Prime Minister Lee Kuan Yew , Singapore 's leader and one of Asia 's leading statesmen for 30 years , recently announced his intention to retire next year -- though not necessarily to end his influence .	his	23	Lee Kuan Yew	3
The 66-year-old Mr. Lee recently spent an hour discussing the state of Asia and the world with two Journal reporters in his plainly furnished , wood-paneled office .	his	22	Lee	4
Skipping personal pleasantries , Mr. Lee picked up exactly where he left off several months earlier -- before the government crackdown in China -- when he had warned that the orthodox leadership in Beijing feared a plurality of views . On China 's turmoil : `` It is a very unhappy scene , '' he said .	he	15	Lee	6
Skipping personal pleasantries , Mr. Lee picked up exactly where he left off several months earlier -- before the government crackdown in China -- when he had warned that the orthodox leadership in Beijing feared a plurality of views .	he	26	Lee	6
Skipping personal pleasantries , Mr. Lee picked up exactly where he left off several months earlier -- before the government crackdown in China -- when he had warned that the orthodox leadership in Beijing feared a plurality of views .	he	11	Lee	6
Asked if the Soviets , like Chinese officials , wo n't one day face a similar conflict between the desire to liberalize economically and yet retain political control , Mr. Lee said , `` I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world . '' Regardless , he said , he still believes the Soviet Union , while falling far short of the efficiency of a Western economy , may well manage to improve considerably .	he	6	Lee	31
Asked if the Soviets , like Chinese officials , wo n't one day face a similar conflict between the desire to liberalize economically and yet retain political control , Mr. Lee said , `` I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world . '' In such an arrangement , `` all benefit , '' he said .	he	11	Lee	31
Asked if the Soviets , like Chinese officials , wo n't one day face a similar conflict between the desire to liberalize economically and yet retain political control , Mr. Lee said , `` I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world . '' Regardless , he said , he still believes the Soviet Union , while falling far short of the efficiency of a Western economy , may well manage to improve considerably .	he	3	Lee	31
Asked if the Soviets , like Chinese officials , wo n't one day face a similar conflict between the desire to liberalize economically and yet retain political control , Mr. Lee said , `` I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world . '' Mikhail Gorbachev , he said , is ahead of China 's leaders in his awareness of the world .	he	4	Lee	31
Mikhail Gorbachev , he said , is ahead of China 's leaders in his awareness of the world .	his	14	Mikhail Gorbachev	1
On Asia-Pacific prosperity : `` If America can keep up the present situation -- her markets open for another 15 years , with adjustments , and Japan can grow and not cut back , and so too , Korea , Taiwan , Hong Kong , Singapore , ASEAN , Australia and New Zealand -- then in 15 years , the economies of these countries would be totally restructured to be able to almost sustain growth by themselves . ''	her	15	America	7
Asked about the possibility of greater economic cooperation among Asia-Pacific nations , which will be discussed Nov. 6 and 7 at a ministerial meeting in Canberra , Mr. Lee said the goal `` is to have a free and open world trading system . '' I believe the U.S. is becoming more patient and circumspect , '' he said .	he	13	Lee	29
Asked about the possibility of greater economic cooperation among Asia-Pacific nations , which will be discussed Nov. 6 and 7 at a ministerial meeting in Canberra , Mr. Lee said the goal `` is to have a free and open world trading system . '' An Asian bloc is n't intended , he said .	he	8	Lee	29
Japan 's recent political turbulence , Mr. Lee said , may mean Japan will slow market adjustments . On U.S. military presence in Asia : Asked if his offer to allow the American military to use facilities in Singapore would help preserve America 's presence in the region at bases in the Philippines , he said , `` What we have done is make it easier for the Philippines to continue to host American bases without it being said they are lackeys of the imperialists and the only ones in Asia or in Southeast Asia .	he	37	Lee	8
Japan 's recent political turbulence , Mr. Lee said , may mean Japan will slow market adjustments . On U.S. military presence in Asia : Asked if his offer to allow the American military to use facilities in Singapore would help preserve America 's presence in the region at bases in the Philippines , he said , `` What we have done is make it easier for the Philippines to continue to host American bases without it being said they are lackeys of the imperialists and the only ones in Asia or in Southeast Asia .	his	10	Lee	8
Mr. Lee added that the Filipinos are `` making it very difficult '' for the U.S. military presence to last beyond five or 10 years . Asked why so few nations seem to share his views of America , he said , `` Many people see it that way .	his	9	Lee	2
Mr. Lee added that the Filipinos are `` making it very difficult '' for the U.S. military presence to last beyond five or 10 years . Asked why so few nations seem to share his views of America , he said , `` Many people see it that way .	he	14	Lee	2
On economic consequences of a diminished U.S. presence : `` America is the only major power in recent history that has used its military might to sustain a system that enables all participants to equally benefit without her as the provider of the security taking royalties . ''	her	38	America	11
On Cambodia : `` Let 's assume that -LCB- former Cambodian leader Prince Norodom -RCB- Sihanouk does what the press wants him to do and joins up with -LCB- Vietnamese-backed Cambodian leader -RCB- Hun Sen .	him	22	Norodom -RCB- Sihanouk	14
Can Sihanouk and Hun Sen knock off the Khmer Rouge still supported by China ? He ca n't .	He	1	Sihanouk	2
Everything looked good as neurosurgeon Walter Levy and colleagues carefully cut away a woman 's spinal tumor at the Cleveland Clinic in 1978 . The damage was to her motor nerves , which could n't be monitored along with the sensory nerves , he explains .	her	5	a woman	13
Everything looked good as neurosurgeon Walter Levy and colleagues carefully cut away a woman 's spinal tumor at the Cleveland Clinic in 1978 . Then , says Dr. Levy , `` she woke up paralyzed . ''	she	8	a woman	13
Everything looked good as neurosurgeon Walter Levy and colleagues carefully cut away a woman 's spinal tumor at the Cleveland Clinic in 1978 . Using small electrical shocks applied to her feet , they were able to monitor sensory nerves .	her	7	a woman	13
Then , says Dr. Levy , `` she woke up paralyzed . '' The tragedy , he adds , `` galvanized me '' to look for a way to prevent similar cases .	he	4	Levy	5
Then , says Dr. Levy , `` she woke up paralyzed . '' The damage was to her motor nerves , which could n't be monitored along with the sensory nerves , he explains .	he	20	Levy	5
Dr. Levy 's answer may come with a new kind of magnetic brain probe , a device that he and dozens of U.S. researchers are studying with great hope .	he	19	Levy	2
`` We do n't feel we can use -LCB- the devices -RCB- routinely in surgery yet , but we 're getting close , '' says Dr. Levy , who is now with the University of Pittsburgh . A problem , he adds , is that anesthetized brains are more resistant to magnetic stimulation than awake ones .	he	4	Levy	27
`` Where does that first stimulus go ? '' exclaims SUNY neurologist Paul Maccabee . He and others say that the machines are weak enough that they do n't jeopardize the memory .	He	1	Paul Maccabee	13
Keeping the Japanese happy will be one of the most important tasks facing conservative leader Ernesto Ruffo when he takes office Nov. 1 , as the first opposition governor in Mexico 's modern history .	he	19	Ernesto Ruffo	16
The young president so admires Japanese discipline that he sends his children to a Japanese school in Mexico City . He already has finagled a $ 2 billion loan from the Japanese government .	He	1	The young president	1
The young president so admires Japanese discipline that he sends his children to a Japanese school in Mexico City .	his	11	The young president	1
The young president so admires Japanese discipline that he sends his children to a Japanese school in Mexico City .	he	9	The young president	1
For the PRI to stand a chance , Mr. Salinas has to press on with an economic program that so far has succeeded in lowering inflation and providing moderate economic growth . But maintaining the key components of his strategy -- a stable exchange rate and high level of imports -- will consume enormous amounts of foreign exchange .	his	7	Salinas	10
`` The Japanese will come to Mexico , but not immediately , '' says Kazushige Suzuki , director-general of the Japanese External Trade Organization in Mexico . Pressed on the matter , he is more specific .	he	6	Kazushige Suzuki	15
`` The Japanese will come to Mexico , but not immediately , '' says Kazushige Suzuki , director-general of the Japanese External Trade Organization in Mexico . `` When the fruit is ripe , it falls from the tree by itself , '' he says .	he	17	Kazushige Suzuki	15
Mr. Nakamura cites the case of a customer who wants to build a giant tourism complex in Baja and has been trying for eight years to get around Mexican restrictions on foreign ownership of beachfront property . He could develop the beach through a trust , but instead is trying have his grandson become a naturalized Mexican so his family gains direct control .	his	22	Nakamura	2
Mr. Nakamura cites the case of a customer who wants to build a giant tourism complex in Baja and has been trying for eight years to get around Mexican restrictions on foreign ownership of beachfront property . He could develop the beach through a trust , but instead is trying have his grandson become a naturalized Mexican so his family gains direct control .	his	15	Nakamura	2
Mr. Nakamura cites the case of a customer who wants to build a giant tourism complex in Baja and has been trying for eight years to get around Mexican restrictions on foreign ownership of beachfront property . He could develop the beach through a trust , but instead is trying have his grandson become a naturalized Mexican so his family gains direct control .	He	1	Nakamura	2
David Owen , an economist at Kleinwort Benson & Co. in London , said he expects further cuts in short-term U.S. rates in an effort to encourage a narrowing of the trade gap and to ensure a soft landing in the U.S. economy .	he	15	David Owen	1
Mr. White also predicted a half-point cut in the U.S. discount rate in the near future . Bolstering his argument , the Commerce Department reported yesterday that new home sales for September were down 14 % from August 's revised 3.1 % fall .	his	2	White	2
Mr. White also predicted a half-point cut in the U.S. discount rate in the near future . He expects such a cut `` because of problems in several sectors of the economy , particularly real estate and automobiles . ''	He	1	White	2
Mr. Kakita said the key dollar-yen exchange rate is at 135 yen . `` If 135 is broken , some panic will be seen , '' he predicted , explaining that Japanese institutions are comfortable with the dollar anywhere between current levels and 135 yen .	he	14	Kakita	2
Jens-Uwe Fischer , a senior trader at Manufacturers Hanover Trust Co. in Frankfurt , said he expects the dollar to recover within the next three months to around 1.88 marks as U.S. economic data , particularly U.S. trade figures , level off . He contended that the Fed wo n't ease rates further , but predicted Bundesbank officials will relax key rates in West Germany .	He	1	Jens-Uwe Fischer	1
Jens-Uwe Fischer , a senior trader at Manufacturers Hanover Trust Co. in Frankfurt , said he expects the dollar to recover within the next three months to around 1.88 marks as U.S. economic data , particularly U.S. trade figures , level off .	he	16	Jens-Uwe Fischer	1
Alfred Zapfel , chief trader at Bank of Boston in Frankfurt , took an opposite stance . West German interest rates , he said , will remain unchanged .	he	6	Alfred Zapfel	1
Alfred Zapfel , chief trader at Bank of Boston in Frankfurt , took an opposite stance . He said he expects U.S. interest rates to decline , dragging the dollar down to around 1.80 marks by the end of January after a short-lived dash to 1.87 marks by the end of November .	he	3	Alfred Zapfel	1
Alfred Zapfel , chief trader at Bank of Boston in Frankfurt , took an opposite stance . He said he expects U.S. interest rates to decline , dragging the dollar down to around 1.80 marks by the end of January after a short-lived dash to 1.87 marks by the end of November .	He	1	Alfred Zapfel	1
Scott Greene , chief foreign exchange dealer with Julius Baer & Co. in New York , fits the description of a `` great dollar bear . '' `` We 're finally seeing the culmination of all the recessionary buildup of the last few months , '' he said , noting a continuing downward trend in U.S. interest rates , a shaky stock market and `` gloomier economic times ahead '' all signal a significantly lower dollar .	he	20	Scott Greene	1
Scott Greene , chief foreign exchange dealer with Julius Baer & Co. in New York , fits the description of a `` great dollar bear . '' He predicted the U.S. unit will skid below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year .	He	1	Scott Greene	1
Mr. Owen of Kleinwort Benson suggested that the new chancellor , John Major , will take a tough line in his autumn statement later this month , helping to underpin the pound . But , he warned , the currency will remain at risk .	he	3	Owen	2
Mr. Owen of Kleinwort Benson suggested that the new chancellor , John Major , will take a tough line in his autumn statement later this month , helping to underpin the pound .	his	21	John Major	12
West Germany will repeal the unpopular turnover tax on securities transactions as of Jan. 1 , 1991 , Economics Minister Helmut Haussmann said . He said the government will also repeal the 1 % transaction tax on the first-time purchase of stakes in companies .	He	1	Helmut Haussmann	21
A separate inquiry by Chemical cleared Mr. Edelson of allegations that he had been lavishly entertained by a New York money broker .	he	12	Edelson	8
The Chemical spokeswoman said the bank has examined its methodologies and internal controls . Its valuation methodologies , she said , `` are recognized as some of the best on the Street .	she	5	The Chemical spokeswoman	1
The Chemical spokeswoman said the bank has examined its methodologies and internal controls . `` We consider our internal controls to have worked well , '' she said , adding that some procedures have been strengthened .	she	13	The Chemical spokeswoman	1
When Thomas W. Wathen went big league last year , he acquired a treasure-trove of Americana along with a well-known but ailing security business : Pinkerton 's Inc .	he	11	Thomas W. Wathen	2
The missing watch is emblematic of the problems Mr. Wathen encountered in building his closely held California Plant Protection Security Service into the largest detective and security agency in the U.S. through acquisitions .	his	14	Wathen	10
Mr. Wathen , who started his career as an Air Force investigator and worked as a security officer for several large companies , built his California Plant Protection from a tiny mom-and-pop security patrol firm here in the San Fernando Valley . He joined the firm in 1963 and bought it from the owners the next year .	He	1	Wathen	2
Mr. Wathen , who started his career as an Air Force investigator and worked as a security officer for several large companies , built his California Plant Protection from a tiny mom-and-pop security patrol firm here in the San Fernando Valley .	his	25	Wathen	2
Mr. Wathen , who started his career as an Air Force investigator and worked as a security officer for several large companies , built his California Plant Protection from a tiny mom-and-pop security patrol firm here in the San Fernando Valley .	his	6	Wathen	2
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He could acquire a staff of loyal Pinkerton 's employees , many of whom had spent their entire careers with the firm , he could eliminate a competitor and he could get the name recognition he 'd wanted .	he	36	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He could acquire a staff of loyal Pinkerton 's employees , many of whom had spent their entire careers with the firm , he could eliminate a competitor and he could get the name recognition he 'd wanted .	he	30	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He could acquire a staff of loyal Pinkerton 's employees , many of whom had spent their entire careers with the firm , he could eliminate a competitor and he could get the name recognition he 'd wanted .	he	24	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He could acquire a staff of loyal Pinkerton 's employees , many of whom had spent their entire careers with the firm , he could eliminate a competitor and he could get the name recognition he 'd wanted .	He	1	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He decided he could easily merge Pinkerton 's operations with his own while slashing overhead costs because the two already operated in many of the same cities .	his	11	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He decided he could easily merge Pinkerton 's operations with his own while slashing overhead costs because the two already operated in many of the same cities .	he	3	Wathen	27
So when American Brands Inc. decided to sell the unit in 1987 as part of a divestiture of its food and security industries operations , Mr. Wathen saw a chance to accomplish several objectives . He decided he could easily merge Pinkerton 's operations with his own while slashing overhead costs because the two already operated in many of the same cities .	He	1	Wathen	27
Mr. Wathen also relished the chance to demonstrate an entrepreneur like himself , who 'd spent his whole career in the security business , could run Pinkerton 's better than an unfocused conglomerate or investment banker . I love this business , '' he says .	he	7	Wathen	2
Mr. Wathen also relished the chance to demonstrate an entrepreneur like himself , who 'd spent his whole career in the security business , could run Pinkerton 's better than an unfocused conglomerate or investment banker .	his	17	Wathen	2
But there were hitches , not the least of which was that , Mr. Wathen says , he proceeded almost blindly in doing the $ 95 million acquisition , which was completed in January 1988 . If we had , it might have scared us off , '' he says .	he	13	Wathen	15
But there were hitches , not the least of which was that , Mr. Wathen says , he proceeded almost blindly in doing the $ 95 million acquisition , which was completed in January 1988 .	he	18	Wathen	15
Five years of rapid expansion under American Brands , with an emphasis on marketing the agency 's services instead of improving them , had hurt Pinkerton 's profits , Mr. Wathen claims . And regional offices were `` egregiously overstaffed , '' he claims .	he	10	Wathen	31
Five years of rapid expansion under American Brands , with an emphasis on marketing the agency 's services instead of improving them , had hurt Pinkerton 's profits , Mr. Wathen claims . Pinkerton 's had locked itself into low-price contracts to win new business , with no hope of profitability until the contracts expired , he adds .	he	24	Wathen	31
Five years of rapid expansion under American Brands , with an emphasis on marketing the agency 's services instead of improving them , had hurt Pinkerton 's profits , Mr. Wathen claims . He says his team could n't tell whether accounts receivable had been paid or not .	his	3	Wathen	31
Five years of rapid expansion under American Brands , with an emphasis on marketing the agency 's services instead of improving them , had hurt Pinkerton 's profits , Mr. Wathen claims . He says his team could n't tell whether accounts receivable had been paid or not .	He	1	Wathen	31
Mr. Wathen says his turnaround strategy has been simple : just hack away at the fat . He shut down the company 's tony New York headquarters .	He	1	Wathen	2
Mr. Wathen says his turnaround strategy has been simple : just hack away at the fat . He began by closing 120 of the combined companies ' 260 offices in two months , eliminating about 31 % of the company 's 2,500-person adminstrative staff , including more than 100 sales positions .	He	1	Wathen	2
Mr. Wathen says his turnaround strategy has been simple : just hack away at the fat .	his	4	Wathen	2
Next , Mr. Wathen raised Pinkerton 's rates , which were 75-cents-an-hour lower than California Plant Protection 's average rate of around $ 8.63 . And he got rid of low-margin businesses that just were n't making money for the company .	he	2	Wathen	4
Mr. Wathen , who says Pinkerton 's had a loss of nearly $ 8 million in 1987 under American Brands , boasts that he 's made Pinkerton 's profitable again .	he	24	Wathen	2
We hear that HUD Secretary Jack Kemp is toying with going along with some of the Cranston-Mitchell proposals . That sounds like a formula for ensuring that he gets dragged into the next HUD tar pit .	he	9	Jack Kemp	6
A group of 27 Senators has written Mr. Kemp urging him to reject Cranston-Mitchell and focus on programs that empower the poor rather than create vast new government obligations .	him	11	Kemp	9
But even if he agrees , Mr. Kemp does n't write the nation 's housing law -- Congress does .	he	4	Kemp	8
`` They hope they can buy some government cost discipline , '' but this is a false hope , Mr. Schramm says . He asserts that government has done an even worse job of controlling its health bill than business .	He	1	Schramm	21
A company spokesman declined to estimate the impact of the closures on earnings . He said the new facility will employ 500 of the existing 600 employees .	He	1	A company spokesman	1
T. Marshall Hahn Jr. , Georgia-Pacific 's chairman and chief executive , said in an interview that all terms of the offer are negotiable . He added that he had spoken with Mr. Laidig , whom he referred to as a friend , by telephone Monday evening .	he	12	T. Marshall Hahn Jr.	1
T. Marshall Hahn Jr. , Georgia-Pacific 's chairman and chief executive , said in an interview that all terms of the offer are negotiable . He added that he had spoken with Mr. Laidig , whom he referred to as a friend , by telephone Monday evening .	he	4	T. Marshall Hahn Jr.	1
T. Marshall Hahn Jr. , Georgia-Pacific 's chairman and chief executive , said in an interview that all terms of the offer are negotiable . He added that he had spoken with Mr. Laidig , whom he referred to as a friend , by telephone Monday evening .	He	1	T. Marshall Hahn Jr.	1
Georgia-Pacific 's Mr. Hahn said that a combined operation would allow savings in many ways . That means goods could be manufactured closer to customers , saving shipping costs , he said .	he	15	Hahn	4
Mr. Hahn said Georgia-Pacific has accounted in its strategy for a `` significant downturn '' in the pulp and paper industry , an event that he said would temporarily dilute earnings . `` The fit is so good , we see this as a time of opportunity , '' he said .	he	18	Hahn	2
Mr. Hahn said Georgia-Pacific has accounted in its strategy for a `` significant downturn '' in the pulp and paper industry , an event that he said would temporarily dilute earnings . But he said that even under those conditions , the company still would realize a savings of tens of millions of dollars in the first year following a merger .	he	2	Hahn	2
Mr. Hahn said Georgia-Pacific has accounted in its strategy for a `` significant downturn '' in the pulp and paper industry , an event that he said would temporarily dilute earnings .	he	26	Hahn	2
`` I do n't think anyone is now immune from takeover , '' said Robert Schneider of Duff & Phelps Inc. , Chicago . He added : `` Every paper company management has to be saying to itself , ` Before someone comes after me , I 'm going to go after somebody . ' ''	He	1	Robert Schneider	15
Prudential-Bache 's Mr. Rodgers said he does n't see the industry 's capacity-expansion program hindering takeover activity . Several projects , he said , are still on the drawing board .	he	4	Rodgers	4
Prudential-Bache 's Mr. Rodgers said he does n't see the industry 's capacity-expansion program hindering takeover activity .	he	6	Rodgers	4
Meanwhile , Shearson Lehman 's Mr. Devario said that , to stay competitive , the U.S. paper industry needs to catch up with the European industry . Since the most-recent wave of friendly takeovers was completed in the U.S. in 1986 , there have been more than 100 mergers and acquisitions within the European paper industry , he said .	he	31	Devario	7
`` Wage increases and overall compensation increases are beginning to curl upward a little bit , '' said Audrey Freedman , a labor economist at the Conference Board , a business research organization . It is a considerably delayed reaction and it 's not a severe one at all , '' she added .	she	18	Audrey Freedman	19
George Jennison , who trades bank stocks for Shearson Lehman Hutton , said the stocks tend to fall behind because they are n't traded as much as many other issues . But , he added , interest-rate-sensitive stocks in general are stalled .	he	3	George Jennison	1
`` The interest-rate sensitives are n't rallying with the rest of the market because of fears about what the -LRB- Federal Reserve -RRB- will do , '' Mr. Jennison said . He said that investors will scour the October employment report , due out Friday , for clues about the direction of the economy and the immediate outlook for interest rates .	He	1	Jennison	29
Sen. Pete Domenici -LRB- R. , N.M. -RRB- , the ranking Republican on the Senate Budget Committee , used his influence to preserve more than $ 132,000 in subsidies for air service to Sante Fe , N.M. , and more than $ 2.1 million would go for service to eight communities in the western Nebraska district of GOP Rep. Virginia Smith on the House Appropriations Committee .	his	20	Pete Domenici	2
But on a 53-45 roll call this provision was stripped from the bill last night after Foreign Relations Chairman Claiborne Pell -LRB- D. , R.I . -RRB- complained that it was an intrusion on exclusive powers vested in his panel for more than three decades .	his	39	Claiborne Pell	20
Ted Eubank , Coda 's president , said the loan carries an interest rate of prime plus one percentage point , with 85 % of the company 's net oil and gas revenue each month dedicated to repayment . The company put up `` virtually all '' of its oil and gas properties as collateral , he said .	he	18	Ted Eubank	1
In one of many rosy scenarios , Bear Stearns 's Gary Schneider wrote in March that its real estate alone had a value of $ 4.5 billion . Throw in its railroad , minerals , pipeline and oil assets , he and others argued , and the Chicago-based conglomerate should be worth 30 a share .	he	13	Gary Schneider	11
Mr. Schneider of Bear Stearns says he is recalculating the worth of the company 's assets and , in the meantime , is sticking to his `` buy '' recommendation on the belief that he will find `` values '' of 30 a share . He adds : `` If for any reason I do n't have the values , then I wo n't recommend it . ''	He	1	Schneider	2
Mr. Schneider of Bear Stearns says he is recalculating the worth of the company 's assets and , in the meantime , is sticking to his `` buy '' recommendation on the belief that he will find `` values '' of 30 a share .	he	35	Schneider	2
Mr. Schneider of Bear Stearns says he is recalculating the worth of the company 's assets and , in the meantime , is sticking to his `` buy '' recommendation on the belief that he will find `` values '' of 30 a share .	his	26	Schneider	2
Mr. Schneider of Bear Stearns says he is recalculating the worth of the company 's assets and , in the meantime , is sticking to his `` buy '' recommendation on the belief that he will find `` values '' of 30 a share .	he	7	Schneider	2
First Boston 's Graeme Anne Lidgerwood values Santa Fe at 24 , down from her earlier estimate of 29 . Her recent report classifies the stock as a `` hold . ''	Her	1	Graeme Anne Lidgerwood	4
First Boston 's Graeme Anne Lidgerwood values Santa Fe at 24 , down from her earlier estimate of 29 .	her	15	Graeme Anne Lidgerwood	4
Mr. Ackerman contended that it was a direct response to his efforts to gain control of Datapoint .	his	11	Ackerman	2
A California official also said he sent the Federal Bureau of Investigation a packet of documents relating to a previously reported $ 400,000 contribution from Lincoln 's parent solicited by Sen. Alan Cranston -LRB- D. , Calif . -RRB- .	he	6	A California official	1
Another federal examiner , John Meek , said Lincoln 's principal owner , Charles Keating Jr. , and his family drew off at least $ 34 million from the thrift in salaries , bonuses and proceeds from securities sales in the 3 1\/2 years before federal authorities seized it earlier this year .	his	19	Charles Keating Jr.	14
`` I think there 's overwhelming evidence to indicate probable criminal activity , '' said Mr. Meek , who participated last year in an examination of the Irvine , Calif. , thrift . He said the evidence pointed to wrongdoing by Mr. Keating `` and others , '' although he did n't allege any specific violation .	he	17	Meek	17
`` I think there 's overwhelming evidence to indicate probable criminal activity , '' said Mr. Meek , who participated last year in an examination of the Irvine , Calif. , thrift . He said the evidence pointed to wrongdoing by Mr. Keating `` and others , '' although he did n't allege any specific violation .	He	1	Meek	17
Richard Newsom , a California state official who last year examined Lincoln 's parent , American Continental Corp. , said he also saw evidence that crimes had been committed . He said 30 % of the loans he sampled were `` dead meat on the day they were made . ''	he	8	Richard Newsom	1
Richard Newsom , a California state official who last year examined Lincoln 's parent , American Continental Corp. , said he also saw evidence that crimes had been committed . He said 30 % of the loans he sampled were `` dead meat on the day they were made . ''	He	1	Richard Newsom	1
Richard Newsom , a California state official who last year examined Lincoln 's parent , American Continental Corp. , said he also saw evidence that crimes had been committed . `` It sure smells like it , '' he said .	he	9	Richard Newsom	1
Richard Newsom , a California state official who last year examined Lincoln 's parent , American Continental Corp. , said he also saw evidence that crimes had been committed .	he	21	Richard Newsom	1
